CONTENT,SCORE,THUMBSUPCOUNT,REVIEWCREATEDVERSION,AT
O APP NAO FUNCIONA MAIS.,1,1,2.2.435197.0,2021-11-10 19:18:37
FUNCIONAVA! HOJE NAO! PAROU DE FUNCIONAR EM NOVEMBRO DE 2021 (AS TELAS E ABAS FICAM VAZIAS) NAO ENCONTRO MEUS DISPOSITIVOS E NEM AS ROTINAS!!!),1,1,2.2.435197.0,2021-11-10 18:51:57
"NAO CONSIGO FAZER LOGIN, PORQUE QUANDO CLICO NO APLICATIVO ELE DIZ QUE A CONEXAO ATINGIU O TEMPO LIMITE.",1,1,2.2.435197.0,2021-11-10 18:28:22
"O APP QUE JA ERA LENTO AGORA PAROU DE FUNCIONAR COMPLETAMENTE. JA VAMOS PARA A TERCEIRA SEMANA SEM SOLUCAO. NAO ERA POSSIVEL ABRIR NENHUMA TAREFA OU ROTINA, AGORA APOS REINSTALAR E FAZER O LOGIN FICA PARADO EM UMA TELA PRETA ATE DAR TIMEOUT.",1,58,2.2.435197.0,2021-11-10 17:56:27
"O APP PAROU DE FUNCIONAR, TENHO QUE CONECTAR MINHA ECHO DOT E ECHO STUDIO E NAO CONSIGO. PRECISO DE UMA SOLUCAO!!!!",1,0,2.2.435197.0,2021-11-10 17:38:26
"DESDE A ULTIMA ATUALIZACAO, O APP ESTA INUTILIZAVEL. AO ENTRAR, APARECE UMA TELA PRETA E APOS ALGUNS SEGUNDOS O AVISO DE QUE O TEMPO DE CONEXAO ESGOTOU. JA FORCEI PARADA, LIMPEI OS DADOS, REINICIEI O CELULAR E REINSTALEI O APP, E NADA ADIANTOU. COMPREI HOJE UMA ECHO DOT E PRETENDIA COMPRAR O FIRE STICK, AGORA JA ESTOU PENSANDO DUAS VEZES.",1,223,2.2.435197.0,2021-11-10 17:11:08
"COMO EXCLUIR O PERFIL DE UMA PESSOA QUE NAO USA MAIS ALEXA NA MINHA CONTA? MUITO RUIM NAO TER ESTA OPCAO! E SIM, JA FUI NO SITE PELO PC E DIZ QUE NAO E POSSIVEL EXCLUIR CONTATO QUE USA ALEXA, MAS MINHA MAE NAO USA MAIS, INCLUSIVE NAO USA POR SER IMPOSSIVEL LIGAR A PARTIR DOS DISPOSITIVOS ECHO PRO APLICATIVO ALEXA NO SMARTPHONE DELA, SERVICO HORRIVEL, POR ISSO SOU OBRIGADO A TER GOOGLE NEST MINI SO PRA LIGAR PRA ELA PELO GOOGLE DUO.",1,0,2.2.432925.0,2021-11-10 17:06:02
"DEIXOU DE FUNCIONAR, SO APARECE UMA TELA PRETA.",1,1,2.2.435197.0,2021-11-10 16:37:17
NAO ESTA FUNCIONANDO.,1,0,2.2.435197.0,2021-11-10 15:13:42
NAO ESTOU CONSEGUINDO CONFIGURAR A INTERNET,1,0,2.2.435197.0,2021-11-10 14:21:56
"O APP PAROU DE FUNCIONAR COMPLETAMENTE. E NAO CONSIGO EXCLUIR A CONEXAO COM A MINHA CONTA DO TUNEIN, PORQUE NAO EXISTE MAIS A SKILL CORRESPONDENTE",1,0,2.2.435197.0,2021-11-10 12:59:17
"NAO CONSIGO MAIS UTILIZAR MEU APP, QUANDO EU LOGO FICA TELA PRETA E DEPOIS DIZ QUE O TEMPO LIMITE FOI ULTRAPASSADO, EM QUALQUER DISPOSITIVO",1,1,2.2.435197.0,2021-11-10 11:59:26
"FALTA DE RESPEITO COM O CONSUMIDOR, SE NAO ASSINAR ESSE LIXO DE MUSIC UNLIMITEDLIXO O APP NAO FUNCIONA E?",1,0,2.2.432925.0,2021-11-10 11:46:01
"AS FUNCOES NAO ABREM, NAO CONSIGO ALTERAR AS ROTINAS, NEM CONFIGURAR AS EXTENSOES.",1,0,2.2.432925.0,2021-11-10 09:36:10
UM LIXO DE APLICATIVO! VOCES SAO UMA VERGONHA! DESINSTALEI! ,1,0,2.2.339390.0,2021-11-10 09:32:17
"A TELA FICA TODA PRETA. NAO ESTA ABRINDO O APLICATIVO. MTOOO RUIM. ESTAVA INDO MTO BEM, AGORA ESTA DANDO PROBLEMA.",1,1,2.2.432925.0,2021-11-10 07:27:12
CADA DIA PIOR.,1,1,2.2.435197.0,2021-11-10 05:44:53
NAO APARECE O ALBUM COMPLETO DE FOTOS. FALTA MELHOREA EXPLICACOES DE CONECTIVIDADE DOS APARELHOS.,2,0,2.2.432925.0,2021-11-10 05:42:25
"DEPOIS DA ATUALIZACAO PAROU DE FUNCIONAR, ESSE MINI UPDATE TAMBEM N REVOLVEU! ""A CONEXAO ATINGIU O TEMPO LIMITE. TENTE NOVAMENTE.""",1,1,2.2.432925.0,2021-11-10 05:08:40
JA TEM UMAS DUAS SEMANAS QUE NAO CONSIGO EDITAR MEUS ALARMES E ROTINAS O APLICATIVO NAO FUNCIONA. E NAO CONSIGO EXECUTAR A ROTINA PELO CELULAR SO PELAS ECHO,2,1,2.2.432925.0,2021-11-10 01:39:43
SOU CLIENTE E NAO FUNCIONA APP NAO CONSIGO BAIXAR SKIL FAVOR RESOLVER O PROBLEMA,1,1,2.2.435197.0,2021-11-09 23:09:27
A ULTIMA ATUALIZACAO BUGOU O APP. NAO ABRE NADA,2,1,2.2.415290.0,2021-11-09 23:08:34
SO DE PENSAR EM ABRIR O CELULAR JA TRAVA.....NAO IMPORTA O QUAO POTENTE SEJA O CELULAR PESSIMO HORRIVEL TERRIVEL,1,1,2.2.432925.0,2021-11-09 22:40:52
"NAO FUNCIONA NO WIFI, SO NO 4G.",1,1,2.2.432925.0,2021-11-09 22:08:23
"APLICATIVO EXTREMAMENTE PESADO, NAO FUNCIONA COM FLUIDEZ. VARIAS ABAS DEMORAM MUITO PARA CARREGAR OU CARREGAM COM ERRO. PRECISA DE UMA VERSAO MAIS LEVE E MAIS FUNCIONAL!",1,1,2.2.433151.0,2021-11-09 22:02:12
"ACABEI DE COMPRAR UMA ALEXA E SIMPLESMENTE NAO CONSIGO USAR POIS ESSE APLICATIVO NAO FUNCIONA!!! COMO PODE ISSO?!?! GASTEI ESSE DINHEIRO E NAO POSSO USAR. ABSURDO TOTAL!!! JAMAIS INDICARIA PRA ALGUEM! ESTOU DECEPCIONADA, FRUSTRADA E COM RAIVA.",1,2,2.2.432925.0,2021-11-09 21:36:44
"HORRIVEL. INADMISSIVEL UM PRODUTO TAO POPULAR SER OFERECIDO COM UM APLICATIVO TAO TOSCO QUANTO ESSE, QUE SIMPLESMENTE NAO FUNCIONA. NAO RECOMENDARIA A NINGUEM COMPRAR O ALEXA. TOTALMENTE DECEPCIONADO.",1,0,2.2.432925.0,2021-11-09 21:15:03
APP NAO FUNCIONA MAIS.,1,1,2.2.435197.0,2021-11-09 20:54:38
"SIMPLESMENTE PAROU, NAO CONSIGO NEM INSTALAR DE NOVO O APLICATIVO .",2,1,2.2.432925.0,2021-11-09 20:47:20
O APP PAROU DE FUNCIONAR E ESTA TRAVANDO EM TODOS OS DISPOSITIVOS. NAO CONSIGO MAIS ACESSAR E CONTROLAR MEUS ECHO PELA CASA. PRECISO DE SOLUCAO OU VOU MIGRAR PRO CONCORRENTE NA BLACK FRIDAY.,1,1,2.2.432925.0,2021-11-09 18:57:26
"APLICATIVO HORRIVEL, NAO ABRE, NADA FUNCIONA! AINDA NAO DESCOBRI PARA QUE ELE SERVE.",2,0,2.2.435197.0,2021-11-09 18:55:16
COMO FAZER PARA TER TUDO EM PORTUGUES?,1,0,2.2.432925.0,2021-11-09 18:42:11
"TA DANDO ERRO DIRETO, TEMPO LIMITE FOI ATINGIDO. ESTOU SEM MINHA ALEXA. CONSERTEM ISSO POR FAVOR",1,1,2.2.426944.0,2021-11-09 18:25:03
MUITO RUIM NAO TEM IDIOMA PORTUGUES,1,0,2.2.432925.0,2021-11-09 17:28:18
JA TAVA RUIM A MUITO TEMPO.. AGORA SIMPLESMENTE PAROU DE FUNCIONAR,1,2,2.2.432925.0,2021-11-09 16:10:11
EU ESTAVA VAZETO A SENHA NAO ESTA IDO MAS POQUE,2,0,2.2.432925.0,2021-11-09 15:40:23
CHEIO DE FALHAS,1,1,2.2.432925.0,2021-11-09 13:54:43
UMA DROGA!!! PAROU DE FUNCIONAR E REINSTALEI. FICA PEDINDO O OTP MAS SO FUNCIONA POR VOZ E APOS COLOCAR O OTP FICA TUDO PRETO E NAO FUNCIONA,1,1,2.2.432925.0,2021-11-09 13:14:10
PAROU DE FUNCIONAR,2,0,2.2.432925.0,2021-11-09 12:25:51
"NOT WORKING, PLEASE FIX IT",1,0,2.2.432925.0,2021-11-09 12:20:08
"VOU DAR SO UMA ESTRELA PORQUE O APLICATIVO NAO ESTA FUNCIONANDO, FICA NUMA TELA PRETA, INFORMA QUE JA ATINGI O TEMPO LIMITE E NAO CONSIGO CONFIGURAR O WI-FI PARA USAR O DISPOSITIVO.",1,0,2.2.432925.0,2021-11-09 11:39:30
O APP PAROU DE FUNCIONAR,1,1,2.2.432925.0,2021-11-09 10:52:30
"INICIALMENTE HAVIA ENTENDIDO QUE HAVIA PARADO DE FUNCIONAR, ATE LER AS AVALIACOES E VER QUE UMA PESSOA RELATOU QUE ESTARIA FUNCIONANDO APENAS NOS DADOS MOVEIS, O QUE CONFIRMEI. OU SEJA: NO SMARTPHONE, PRECISO DESLIGAR O WIFI E LIGAR OS DADOS MOVEIS PARA FUNCIONAR; JA NO MEU TABLET, QUE NAO TEM CHIP DE OPERADORA, NAO TENHO MAIS COMO USAR. ESPERO QUE CORRIJAM ESSE PROBLEMA, JA QUE ANTES FUNCIONAVA NORMALMENTE NO WIFI.",1,81,2.2.433151.0,2021-11-09 09:20:49
"NAO FUNCIONA MAIS. APENAS UMA TELA PRETA. JA REINICIEI, DESINSTALEI E BAIXEI NOVAMENTE, ENTREI EM CONTATO COM O SUPORTE POR TELEFONE E NADA. NAO CONSIGO MAIS GERENCIAR MEUS EQUIPAMENTOS. O JEITO VAI SER TROCAR PELO GOOGLE HOME.",1,3,2.2.432925.0,2021-11-09 07:50:28
"O APP ESTA MUITO LENTO, NAO CONSIGO EDITAR NADA MAIS... TINHA CENAS ETC. O APP ABRE NASA, FICA VARREGANDO E NADA, HORRIVEL.",1,0,2.2.432925.0,2021-11-09 07:34:03
APLICATIVO MUITO LENTO PARA ABRIR,1,0,2.2.432925.0,2021-11-09 05:34:08
"APLICATIVO RUIM, LENTO, NAO CONECTA COM O DISPOSITIVO. SEGUI TODO O PROCEDIMENTO QUE ME FOI ENVIADO PELO SUPORTE, MAS NADA FEITO. CONTINUI TENDO MESMO PROBLEMA. E UMA PENA !",1,0,2.2.432925.0,2021-11-09 00:22:46
"NAO FUNCIONA MAIS NO ANDROID. TENTEI EM DOIS CELULARES. JA LIMPEI CACHE, DESINSTALEI E NADA. ME DEIXOU NA MAO. LAMENTAVEL.",1,2,2.2.432925.0,2021-11-09 00:17:14
"O APLICATIVO ERA MUITO BOM MAS NAO SEI O QUE ACONTECEU, MAS TINHA MINHAS ROTINAS DEFINIDAS NO APLICATIVO, AGORA NAO CONSIGO ADICIONAR APAGAR A LUZ AO DIZER BOA NOITE OU ACENDER AO DIZER BOM DIA PORQUE TIRARAM ESTAS OPCOES DAS ROTINAS? ESPERO QUE VOLTE ESTA OPCAO ERA MUITO BOM.",1,3,2.2.433151.0,2021-11-08 23:21:55
APLICATIVO ESTA COM PROBLEMAS!! NAO APARECE NADA E SIM TELA PRETA...RESOLVAM LOGO ISSO POR FAVOR,1,1,2.2.432925.0,2021-11-08 22:55:39
PRECISO DESINSTALAR E INSTALAR TODA SEMANA PORQUE FICA PRETO DO NADA,1,0,2.2.433151.0,2021-11-08 22:19:36
BOM,1,0,2.2.432925.0,2021-11-08 21:31:10
"NAO ESTOU CONSEGUINDO ACESSAR O APLICATIVO, COLOCO A SENHA E A TELA FICA PRETA E NAO ABRE NADA. DA PRA RESOLVER ESSE PROBLEMA NAO CONSIGO CONFIGURAR A MINHA ALEXA PQ O APLICATIVO NAO FUNCIONA. OU VCS RESOLVEM OU VOU DEVOLVER A ALEXA PQ SO DA PRA FAZER AS CONFIGURACOES COM O APLICATIVO",1,0,2.2.432925.0,2021-11-08 21:14:49
"PESSIMO. AS SKILLS DE NOTICIAS SAO REDUNDANTES E REPETEM AS INFORMACOES DE DIAS ANTERIORES, AO MUDAR UM EMAIL SEU CALENDARIO SE TORNA INACESSIVEL. SO SERVE MESMO COMO UMA CAIXINHA DE SOM MAIS OI MENOS",1,0,2.2.432925.0,2021-11-08 20:40:51
"PAROU DE FUNCIONAR DO NADA. NAO SINCRONIZA MAIS MUSICA, NAO ABRE O QUE ESTA REPRODUZINDO, FICOU PRATICAMENTE INUTIL. JA REINSTALEI E NADA. COMPLICADO.",1,0,2.2.432925.0,2021-11-08 19:48:26
"PESSIMO, SO APARECE TELA PRETA",1,0,2.2.432925.0,2021-11-08 19:37:45
GENTE MEU DEUS DO CEU EU TO BAIXANDO ISSO NAO VAI VELOCIDADE BAIXANDO O APLICATIVO 0 VELOCIDADE DE BAIXAR O GLOGLE 10000000000000000000000,1,0,2.2.432925.0,2021-11-08 19:29:35
"APP ERA OTIMO! FAZ UMA SEMANA QUE NAO CONSIGO ACESSAR AS SKILLS, ROTINAS, ALARMES ETC. PRATICAMENTE NAO CONSIGO FAZER MAIS NADA PELO APP. POXA, ESTAVA FUNCIONANDO SUPER BEM E AGORA ESTA ESSE LIXO. DECEPCIONADO...",1,4,2.2.432925.0,2021-11-08 19:14:09
APP ALTAMENTE DESOTIMIZADO. DEMORA NO CARREGAMENTO E MTS VEZES NEM CARREGA,1,0,2.2.433151.0,2021-11-08 18:00:31
NAO FUNCIONA. TELA FICA PRETA E NAO ABRE.,1,0,2.2.432925.0,2021-11-08 17:42:46
ESSA E MINHA NOTA PORQUE NAO CONSIGO FAZER CONTA,1,0,2.2.432925.0,2021-11-08 12:50:23
O APLICATIVO PAROU DE FUNCIONAR JA TEM DIAS,1,0,2.2.432925.0,2021-11-08 12:07:20
TENHO UM NOTE20 ULTRA E O APLICATIVO AINDA E MUITO LENTO.,1,0,2.2.432925.0,2021-11-08 11:58:02
NAO CARREGA!!!! SIMPLESMENTE A TELA FICA PRETA E APARECE A MSG QUE O TEMPO DE CONEXAO EXPIROU.,1,2,2.2.432925.0,2021-11-08 11:23:09
PODERIAM AUMENTAR A QUALIDADE DAS MUSICAS COMO NO AMAZON MUSIC.,2,0,2.2.432925.0,2021-11-08 08:37:39
"NAO CONSIGO LIGAR NO APP... PRECISO ORGANIZAR MINHA CASA, POR FAVOR RESOLVAM ESSE PROBLEMA!",1,1,2.2.432925.0,2021-11-08 07:16:38
DESINSTALEI O APLICATIVO DEVIDO AOS CONSTANTES TRAVAMENTOS E AGORA NAO CONSIGO ACESSAR DE MANEIRA ALGUMA! SE PUDESSE NEM ESTRELAS DARIA.,1,1,2.2.416420.0,2021-11-08 04:45:36
"O APLICATIVO ERA OTIMO, MAS JA HA MAIS DE UMA SEMANA QUE NAO CONSIGO CONFIGURAR MEUS ALARMES OU LEMBRETES. SOU DIRECIONADA PARA UMA TELA DE CARREGAMENTO ETERNA, UMA PENA POIS GOSTO MUITO DA MINHA ALEXA.",2,2,2.2.432925.0,2021-11-08 00:42:12
SIMPLESMENTE NAO ABRE MAIS O APP,1,1,2.2.432925.0,2021-11-07 23:12:33
"OQUE ESTA ACONTECENDO COM APP ALEXA, NAO ABRE, FICA APENAS UMA TELA PRETA, JA TENTEI DE TUDO, JA INSTALEI ATE EM OUTRO CEL ACHANDO QUE O PROBLEMA ERA NO MEU APARELHO, AMAZON FAZENDO VERGONHA, AGNT PAGA CARO EM UM PRODUTO E NAO CONSEGUE USA-LO POR CONTA DE ERRO DELES, INDIGNADO",1,3,2.2.432925.0,2021-11-07 23:08:22
APP PAROU DE FUNCIONAR!,1,0,2.2.432925.0,2021-11-07 22:00:32
"APP NAO ESTA FUNCIONANDO DESDE A ATUALIZACAO, TELA PRETA EM LOGIN E NAO CONSIGO ACESSAR AS CONFIGURACOES DO DISPOSITIVO",1,2,2.2.432925.0,2021-11-07 21:03:04
"BOA NOITE! EI COMPREI UM DOT ECKO E INSTALEI O APLICATIVO DA ALEXA, POREM EU COLOCO EMAIL E SENHA E O APLICATIVO SO FICA NA TELA PRETA E DEPOIS APARECE A MENSAGEM QUE ATINGIU LIMITE. ACHEI QUE ERA PQ MEU ERA ANTIGO, ENTAO PEGUEI OLUM CEL MAIS NOVO E DEU A MESMA COISA. EU VI QUE VARIAS PESSOAS RECLAMAM DESSE MESMO MOTIVO. A GENTE PAGA 300 E NAO CONSEGUE USAR O APARELHO.",1,1,2.2.432925.0,2021-11-07 20:52:31
PAROU DE FUNCIONAR,1,0,2.2.432925.0,2021-11-07 19:38:01
"APP PAROU TOTALMENTE, NAO CONSIGO ACESSAR...",2,1,2.2.416420.0,2021-11-07 17:58:25
"NAO CONSIGO USAR O ECHO DOT, POIS O APLICATIVO FICA COM A TELA TODA PRETA DIZENDO ""SUA CONEXAO ATINGIU O TEMPO LIMITE. TENTE NOVAMENTE MAIS TARDE""",1,3,2.2.432925.0,2021-11-07 17:56:05
O APP E MUITO LENTO.,2,1,2.2.432925.0,2021-11-07 17:20:38
"INSTALEI O APP NO ANDROID E NA PRIMEIRA VEZ PEDE O LOGIN NA AMAZON, A TELA SEGUINTE E PRETA, NADA FUNCIONA. ATE CHEGAR O AVISO QUE O TEMPO ACABOU.... NAO FUNCIONA",1,2,2.2.432925.0,2021-11-07 17:08:45
A TELA FICA PRETA,1,1,2.2.432925.0,2021-11-07 17:04:03
"AS VEZES O APP TRAVAVA MUITO E PARAVA DE TOCAR MUSICA, ENQTO EU ESTAVA NO CARRO. DEIXEI DE USAR. AGORA NAO ACESSO AS ROTINAS PRA EXCLUIR ALGUMAS. JA LIMPEI CACHE, DESINSTALEI E INSTALEI...FALEI COM SUPORTE...E NADA. SAMSUNG GALAXY NOTE 9, ONE UO 2.5 E FIRMWARE ORIGINAL.",1,4,2.2.433151.0,2021-11-07 16:48:43
MUITO LENTA APLICACAO NAO GOSTO PODIA SER MELHOR ,1,1,2.2.432925.0,2021-11-07 16:47:44
PARECE BOM,2,1,2.2.432925.0,2021-11-07 16:46:07
"ESSE AP E MUITO RUIM, JA ESTOU PAGANDO E ALEXA NAO TOCA NADA QUE A GENTE PEDE. DECEPCIONADA!",1,1,2.2.432925.0,2021-11-07 15:24:16
PAROU DE FUNCIONAR. APRESENTA MENSAGEM DE QUE ATINGIU O TEMPO LIMITE.,1,0,2.2.432925.0,2021-11-07 15:16:06
TENHO Q MUDAR O WI-FI MAS A CONTA NA ALEXA N ABRE... APARECE A LOGO DA AMAZON E FICA TUDO PRETO ,1,1,2.2.432925.0,2021-11-07 15:09:49
"APP SEM FUNCIONAR, TELA PRETA, MANDA TENTAR NOVAMENTE , CIDA",1,1,2.2.433151.0,2021-11-07 12:47:31
"DESDE O INICIO DO MES O APLICATIVO NAO TEM FUNCIONADO DIREITO, MUITO LENTO PARA VER LISTAS, DISPOSITIVOS, SKILLS. AUTOMATIZEI MINHA CASA COM ALEXA, TENHO MAIS DE 20 DISPOSITIVOS CONECTADOS E QUE NAO CONSIGO ACESSAR PELO APLICATIVO. A PARTE DE VOZ FUNCIONA NORMALMENTE. PECO URGENCIA NA CORRECAO DO PROBLEMA.",1,63,2.2.432925.0,2021-11-07 12:01:33
"ESTOU COM PROBLEMA O APLICATIVO FICA EM UMA TELA PRETA, PRECISO CONFIGURAR O WI-FI E NAO ESTOU CONSEGUINDO.",1,1,2.2.432925.0,2021-11-07 10:55:59
"NO MEU CELULAR NAO ESTA ABRINDO MAIS, A TELA FICA PRETA E NAO ABRE.",1,1,2.2.432925.0,2021-11-07 10:47:42
"APLICATIVO NAO FUNCIONA ALGUEM SABE DE OUTROS APLICATIVOS QUE POSSA SER SEMELHANTE,?",1,0,2.2.432925.0,2021-11-07 10:20:31
O APP TRAVA MUITO DURANTE O USO.,2,0,2.2.432925.0,2021-11-07 10:19:56
"MUITO INSTAVEL, A CAMERA FUNCIONA QUANDO QUER.",1,0,2.2.432925.0,2021-11-07 09:27:47
ESTOU COM PROBLEMAS PARA ATIVAR SKILLS OU ATUALIZAR,1,0,2.2.433151.0,2021-11-07 09:19:57
QUANDO FUNCIONA E BOM.. NAO CONSIGO ENTRAR NAS CONFIGURACOES.. NAO CONSIGO ENTRAR NAS ROTINAS...,2,1,2.2.432925.0,2021-11-06 23:35:54
"O APP NAO ESTA BOM, POIS SO FICA NA TELA PRETA!",1,0,2.2.432925.0,2021-11-06 21:10:56
PEGUEI UM MOTO G20 E SIMPLESMENTE NAO ABRE JA FIZ DE TUDO,1,0,2.2.432925.0,2021-11-06 20:43:24
O APLICATIVO E LENTO E AGORA NAO DA PARA OUVIR DIREITO OS LIVROS PORQUE FICA REPETINDO OS CAPITULO MUITO CHATO,2,0,2.2.427576.0,2021-11-06 20:36:13
"DENISE ABREU ESTOU COM O MESMO PROBLEMA SEU, NAO SAI DA TELA PRETA, JA FIZ TUDO QUE VC FEZ E NADA.",1,2,2.2.416420.0,2021-11-06 19:30:19
"NAO CONSIGO OUVIR MINHA PLAYLIST DO SPOTIFY PREMIUM, ELA NAO ENTENDI E OU NAO ACEITA OS COMANDOS",1,0,2.2.432925.0,2021-11-06 18:33:11
"NAO E POSSIVEL QUE A ALEXA SEJA TAO LENTA ASSIM ( APP ) MEU CELULAR E DOS BONS, POREM CADA FUNCAO DO APP DEMORA PRA APARECER, CLICA E TEM QUE FICAR ESPERANDO ..NADA ABSOLUTAMENTE NADA TEM RESPOSTA RAPIDA ( JA DESINSTALEI E INSTALEI ) ALGUEM ME AJUDA ?",1,1,2.2.427576.0,2021-11-06 16:11:21
"LENTO PRA PASSAR UMA MUSICA TEM UM BAITA DELAY NAO IMPORTA A CONEXAO, DEMORA PRA DESCONECTAR DE DISPOSITIVO E CONECTAR EM OUTRO, PESSIMO!",1,1,2.2.432925.0,2021-11-06 16:08:22
ATUALIZARAM E FICOU PIOR DO QUE ERA,1,0,2.2.432925.0,2021-11-06 15:32:45
"PESSIMO , NAO FUNCIONA DIREITO FICA DIZENDO QUE TA SEM INTERNET",1,0,2.2.432925.0,2021-11-06 15:19:20
ACABEI DE COMPRAR O PRODUTO PARA USAR PRECISO DO APP E O APP NAO ABRE,1,0,2.2.432925.0,2021-11-06 11:35:33
"APOS A ULTIMA ATUALIZACAO DO MES DE OUTUBRO O SKILL DO BLITZWOLF NAO ESTA MAIS DISPONIVEL, TODOS OS DISPOSITIVOS INTELIGENTES NAO FUNCIONAM INTEGRADOS",2,1,2.2.432925.0,2021-11-06 11:09:52
"O APLICATIVO TRAVA MUITO, MESMO VOCE TENDO UM TELEFONE TOPO DE LINHA! HOJE TEM EXATAMENTE UMA SEMANA QUE O APP ESTA COM PROBLEMA, DANDO ERRO AO ABRIR. AMAZON ATE AGORA NAO DISPONIBILIZOU UMA ATUALIZACAO CORRIGINDO O BUG",1,7,2.2.432925.0,2021-11-06 10:16:05
FALTA MUITA COISA !!!,1,0,2.2.432925.0,2021-11-06 09:25:47
TELA PRETA. NAO ADICIONA NOVOS DISPOSITIVOS.,1,1,2.2.432925.0,2021-11-06 09:15:36
"CHEIO DE BUG, NAO FUNCIONA DIREITO O APP. JA TENTEI VARIAS COISAS E NADA.",1,1,2.2.432925.0,2021-11-06 09:10:32
COLOCO MEU LOGIN E SENHA E A TELA FICA TODA PRETA. NAO SAI DISSO.,1,1,2.2.432925.0,2021-11-06 07:54:16
"HORRIVEL, COMPREI UMA E NAO CONSIGO FAZER A CONFIGURACAO PORWUE O APP NAO ABRE SO FICA COM A TELA ESCURA",1,1,2.2.432925.0,2021-11-06 02:56:52
MEUS LEMBRETES SIMPLESMENTE SUMIRAM. VOCE COLOCA A PARADA PRA NAO ESQUECER E SE LASCA...:(,1,1,2.2.432925.0,2021-11-06 01:15:24
"JA FAZ UMA SEMANA QUE O APLICATIVO SO FUNCIONA PELO 4G, SE EU COLOCO NO WIFI ELE OU NAO ABRE FICA NA TELA PRETA OU SE CONSIGO ABRIR FICA CARREGANDO ETERNAMENTE AS FUNCOES. VI UM COMENTARIO FALANDO QUE NAO ESTA FUNCIONANDO NO WIFI, TESTEI NO 4G E FUNCIONOU ATE RAPIDO ",1,5,2.2.432925.0,2021-11-06 00:14:46
NAO FUNCIONA.....,2,1,2.2.432925.0,2021-11-05 22:54:38
POUCO INTUITIVO,2,0,2.2.432925.0,2021-11-05 20:55:16
NEM ABRE.,1,0,2.2.432925.0,2021-11-05 20:52:50
"EXIBE TELA PRETA E NAO CONSIGO ACESSAR NENHUMA FUNCIONALIDADE DO SISTEMA, SENDO INCAPAZ DE GERENCIAR MEUS DISPOSITIVOS, TORNANDO A ECHO DOT INUTIL",1,2,2.2.430534.0,2021-11-05 18:34:44
"DESDE A ULTIMA ATUALIZACAO QUE NAO CONSIGO USAR. PRECISO REINSTALAR MEU ECHO E NAO CONSIGO. JA REINICIEI, REINSTALEI E NADA FUNCIONA. TELA PRETA E ATINGIU O TEMPO LIMITE",1,4,2.2.432925.0,2021-11-05 16:13:31
"HORRIVEL, APLICATIVO MUITO LENTO E QUANDO TENTO LOGAR NA MINHA CONTA FICA NA TELA PRETA E APARECE UMA MENSAGEM ""A CONEXAO ATINGIU O TEMPO LIMITE"" TENHO 1 ECHO DOT 3 GERACAO E NAO CONSIGO USAR ELA POR CAUSA DISSO!!!",1,4,2.2.432925.0,2021-11-05 15:57:46
"EXTREMAMENTE LENTO, ALEXAS LENTAS, SEMANAS HORRIVEIS",1,1,2.2.433151.0,2021-11-05 15:10:12
O APP PAROU DE FUNCIONAR ,1,1,2.2.430534.0,2021-11-05 14:54:56
"EXTREMAMENTE DIFICIL DE CONFIGURAR, HORRIVEL",1,0,2.2.432925.0,2021-11-05 14:25:49
"APLICATIVO NAO FUNCIONA MAIS. TENTO CONFIGURAR E APARECE COMO ""TEMPO DE CONEXAO ESGOTADO"". FRUSTANTE.",1,3,2.2.432925.0,2021-11-05 10:54:07
ERA BOM. MAS PAROU DE FUNCIONAR.,2,1,2.2.432925.0,2021-11-05 10:12:09
"O APP DEIXOU DE FUNCIONAR. QUANDO ABRO PRA FAZER LOGIN, A TELA FICA PRETA E APARECE A MENSAGEM DE QUE PASSOU O TEMPO LIMITE.",1,2,2.2.432925.0,2021-11-05 09:59:57
"MEU APLICATIVO NAO ABRE MAIS :( EU FACO O LOGIN E A TELA FICA TODA PRETA, NAO CONSIGO ACESSAR NADA. JA DESINSTALEI E REINSTALEI, JA REINICIEI O MEU CEL E CONTINUA ASSIM.",1,5,2.2.432925.0,2021-11-05 09:54:13
"APLICATIVO PAROU DE FUNCIONAR. QUANDO ABRO, APARECE A LOGO, DEPOIS FICA TUDO PRETO E UMA JANELA APARECE DIZENDO ""A CONEXAO ATINGIU O TEMPO LIMITE. TENTE NOVAMENTE."" JA ENTREI EM CONTATO COM O SAC DA AMAZON, FIQUEI MAIS DE 1 HORA NO CHAT FORNECENDO INFORMACOES E ATE AGORA NADA MELHOROU. E AGORA, COMO FACO? NAO COMPENSA COMPRAR ECHO DOT SE A EMPRESA NAO TEM COMPROMISSO COM O APLICATIVO QUE O GERENCIA.",1,232,2.2.432925.0,2021-11-05 08:40:09
AINDA CONTINUO COM PROBLEMAS COM AS ROTINAS. DESDE ONTEM QUERO FAZER AJUSTES E INCLUIR ROTINAS E NAO ESTA CARREGANDO,1,3,2.2.432925.0,2021-11-05 08:38:17
"ESTOU TENDO MUITO PROBLEMA EM USAR O APP, ABRE, APARECE O LOGO, E DEPOIS TELA PRETA, E POR FIM APARECE UMA JANELA INFORMANDO FALHA DE CONEXAO, O APP ESTA INUTILIZAVEL, TENTEI DESINSTALAR E REINSTALAR E O ERRO PERSISTE, ATUALIZEM E SOLUCIONEM O ERRO O QUANTO ANTES",1,5,2.2.432925.0,2021-11-05 08:24:06
